Date,Open,High,Low,Close,Adj Close,Volume
02/01/2018,42.540001,43.075001,42.314999,43.064999,40.950489,102223600
03/01/2018,43.1325,43.637501,42.990002,43.057499,40.943367,118071600
04/01/2018,43.134998,43.3675,43.02,43.2575,41.133537,89738400
05/01/2018,43.360001,43.842499,43.262501,43.75,41.60186,94640000
08/01/2018,43.587502,43.9025,43.482498,43.587502,41.447342,82271200
09/01/2018,43.637501,43.764999,43.352501,43.5825,41.442589,86336000
10/01/2018,43.290001,43.575001,43.25,43.572498,41.433075,95839600
11/01/2018,43.647499,43.872501,43.622501,43.82,41.668415,74670800
12/01/2018,44.044998,44.34,43.912498,44.272499,42.098705,101672400
16/01/2018,44.474998,44.8475,44.035,44.047501,41.884762,118263600
17/01/2018,44.037498,44.8125,43.767502,44.775002,42.576546,137547200
18/01/2018,44.842499,45.025002,44.5625,44.814999,42.614582,124773600
19/01/2018,44.6525,44.895,44.352501,44.615002,42.424397,129700400
22/01/2018,44.325001,44.445,44.150002,44.25,42.077301,108434400
23/01/2018,44.325001,44.860001,44.205002,44.259998,42.086823,130756400
24/01/2018,44.3125,44.325001,43.299999,43.555,41.416435,204420400
25/01/2018,43.627499,43.737499,42.6325,42.7775,40.677109,166116000
26/01/2018,43,43,42.514999,42.877499,40.772209,156572000
29/01/2018,42.540001,42.540001,41.767502,41.990002,39.92828,202561600
30/01/2018,41.3825,41.842499,41.174999,41.7425,39.692928,184192800
31/01/2018,41.717499,42.110001,41.625,41.857498,39.802288,129915600
01/02/2018,41.7925,42.154999,41.689999,41.945,39.885487,188923200
02/02/2018,41.5,41.700001,40.025002,40.125,38.154846,346375200
05/02/2018,39.775002,40.970001,39,39.122501,37.201584,290954000
06/02/2018,38.7075,40.93,38.5,40.7575,38.75629,272975200
07/02/2018,40.772499,40.849998,39.767502,39.884998,37.926632,206434400
08/02/2018,40.072498,40.25,38.7575,38.787498,36.883026,217562000
09/02/2018,39.267502,39.4725,37.560001,39.102501,37.334156,282690400
12/02/2018,39.625,40.9725,39.377499,40.677502,38.837933,243278000
13/02/2018,40.487499,41.1875,40.412498,41.084999,39.227001,130196800
14/02/2018,40.759998,41.884998,40.720001,41.842499,39.950233,162579600
15/02/2018,42.447498,43.272499,42.25,43.247501,41.291714,204588800
16/02/2018,43.09,43.705002,42.942501,43.107498,41.158031,160704400
20/02/2018,43.012501,43.564999,42.855,42.962502,41.019592,135722000
21/02/2018,43.2075,43.529999,42.752499,42.767502,40.833405,149886400
22/02/2018,42.950001,43.487499,42.927502,43.125,41.17474,123967600
23/02/2018,43.4175,43.912498,43.384998,43.875,41.89082,135249600
26/02/2018,44.087502,44.8475,44.052502,44.7425,42.719101,152648800
27/02/2018,44.775002,45.119999,44.540001,44.5975,42.58065,155712400
28/02/2018,44.814999,45.154999,44.512501,44.529999,42.516197,151128400
01/03/2018,44.634998,44.945,43.165001,43.75,41.771477,195208000
02/03/2018,43.200001,44.075001,43.112499,44.052502,42.060303,153816000
05/03/2018,43.802502,44.435001,43.630001,44.205002,42.205894,113605600
06/03/2018,44.477501,44.5625,44.032501,44.1675,42.170094,95154000
07/03/2018,43.735001,43.962502,43.567501,43.7575,41.778641,126814000
08/03/2018,43.869999,44.279999,43.767502,44.235001,42.234543,95096400
09/03/2018,44.490002,45,44.3475,44.994999,42.960175,128740800
12/03/2018,45.072498,45.5975,45.052502,45.43,43.375504,128828400
13/03/2018,45.647499,45.875,44.810001,44.9925,42.95779,126774000
14/03/2018,45.080002,45.130001,44.452499,44.610001,42.592587,117473600
15/03/2018,44.625,45.060001,44.517502,44.662498,42.642712,90975200
16/03/2018,44.662498,44.779999,44.404999,44.505001,42.492336,157618800
19/03/2018,44.330002,44.3675,43.415001,43.825001,41.843094,133787200
20/03/2018,43.810001,44.200001,43.735001,43.810001,41.828762,78597600
21/03/2018,43.759998,43.772499,42.814999,42.817501,40.881157,148219600
22/03/2018,42.5,43.169998,42.150002,42.212502,40.303505,165963200
23/03/2018,42.0975,42.48,41.235001,41.235001,39.370216,164115200
26/03/2018,42.017502,43.275002,41.610001,43.192501,41.239189,150164800
27/03/2018,43.419998,43.787498,41.73,42.084999,40.181778,163690400
28/03/2018,41.8125,42.505001,41.297501,41.619999,39.737801,166674000
29/03/2018,41.952499,42.9375,41.724998,41.945,40.048103,153594000
02/04/2018,41.66,42.235001,41.1175,41.669998,39.785549,150347200
03/04/2018,41.91,42.1875,41.220001,42.0975,40.193707,121112000
04/04/2018,41.220001,43.002499,41.192501,42.9025,40.962307,138422000
05/04/2018,43.145,43.557499,43.02,43.200001,41.246349,107732800
06/04/2018,42.7425,43.119999,42.049999,42.095001,40.191322,140021200
09/04/2018,42.470001,43.272499,42.462502,42.512501,40.589947,116070800
10/04/2018,43.25,43.5,42.8825,43.3125,41.353764,113634400
11/04/2018,43.057499,43.48,42.924999,43.110001,41.160423,89726400
12/04/2018,43.352501,43.75,43.259998,43.535,41.566193,91557200
13/04/2018,43.695,43.959999,43.462502,43.682499,41.707027,100497200
16/04/2018,43.7575,44.047501,43.7075,43.955002,41.967205,86313600
17/04/2018,44.122501,44.735001,44.102501,44.560001,42.544853,106421600
18/04/2018,44.452499,44.705002,44.220001,44.459999,42.449371,83018000
19/04/2018,43.439999,43.8475,43.165001,43.200001,41.246349,139235200
20/04/2018,42.650002,42.805,41.357498,41.43,39.556396,261964400
23/04/2018,41.7075,41.73,41.022499,41.310001,39.441841,146062000
24/04/2018,41.4175,41.5825,40.305,40.735001,38.892822,134768000
25/04/2018,40.654999,41.355,40.602501,40.912498,39.062302,113528400
26/04/2018,41.029999,41.432499,40.842499,41.055,39.198357,111852000
27/04/2018,41,41.0825,40.157501,40.580002,38.744839,142623200
30/04/2018,40.532501,41.814999,40.459999,41.314999,39.446602,169709600
01/05/2018,41.602501,42.299999,41.317501,42.275002,40.363174,214277600
02/05/2018,43.807499,44.4375,43.450001,44.142502,42.146225,266157600
03/05/2018,43.970001,44.375,43.610001,44.2225,42.222614,136272800
04/05/2018,44.5625,46.0625,44.5425,45.9575,43.879147,224805200
07/05/2018,46.294998,46.9175,46.1875,46.290001,44.196617,169805600
08/05/2018,46.247501,46.555,45.9175,46.512501,44.409042,113611200
09/05/2018,46.637501,46.849998,46.305,46.84,44.721733,92844800
